Filename,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
frame_0000.jpg,798,0,916,5,660,9,523,14,380,16,234,29,95,47,943,63,0,121,840,132,704,168,578,185,28,185,440,208,302,222,169,231
frame_0002.jpg,799,0,917,4,661,10,524,14,381,16,236,27,95,47,944,63,0,122,841,132,705,168,579,185,28,185,441,208,303,221,169,231
frame_0004.jpg,797,0,916,5,659,10,523,13,380,16,234,29,95,46,943,63,0,121,840,132,703,169,578,185,28,185,440,208,302,221,169,231
frame_0005.jpg,798,0,916,5,660,10,523,14,380,16,235,28,95,46,943,63,0,122,840,132,704,168,578,185,28,185,440,209,302,221,169,231
frame_0007.jpg,798,0,916,4,659,10,523,14,380,15,234,29,95,46,943,63,0,121,840,132,704,168,578,185,28,185,440,209,302,221,169,231
frame_0010.jpg,797,0,916,5,660,10,523,13,380,16,234,28,95,47,943,63,0,121,840,132,703,168,578,185,27,186,440,209,302,221,169,231
frame_0011.jpg,799,0,917,3,660,8,524,12,381,15,235,28,96,45,944,62,0,121,841,131,705,168,579,184,28,185,441,207,303,220,170,230
frame_0012.jpg,798,0,916,5,659,9,523,14,380,16,235,26,95,46,943,63,0,121,840,132,704,168,578,185,28,185,440,208,302,221,169,231
frame_0013.jpg,798,0,916,4,660,9,523,13,380,15,234,27,95,45,943,62,0,121,840,131,704,167,578,184,28,184,440,207,302,220,169,230
frame_0014.jpg,799,0,917,4,661,8,524,12,381,15,236,27,96,45,944,62,0,121,841,131,705,167,579,184,28,184,441,207,304,221,169,230
frame_0016.jpg,797,0,916,5,660,11,523,14,380,17,234,29,95,47,942,64,0,123,840,133,704,169,578,186,27,187,440,209,302,222,169,232
frame_0017.jpg,797,0,916,4,659,9,523,13,380,16,234,28,95,46,943,63,0,121,840,132,704,168,578,185,27,186,440,208,302,221,168,231
frame_0018.jpg,798,0,916,3,660,9,523,13,380,15,234,28,94,46,943,62,0,120,840,131,703,168,578,184,27,184,440,207,302,220,169,230
frame_0019.jpg,798,0,916,3,659,8,523,13,380,15,235,27,94,45,943,63,0,121,840,131,703,167,578,184,28,184,440,207,302,220,168,230
frame_0021.jpg,797,0,916,5,660,10,523,14,380,16,235,27,94,47,942,63,0,121,840,132,703,169,578,185,28,185,440,209,302,221,169,231
frame_0023.jpg,797,0,916,5,659,9,523,14,380,16,234,28,95,46,943,64,0,121,840,132,704,169,578,185,28,185,440,209,302,221,168,231
frame_0024.jpg,799,0,917,3,661,9,524,13,381,15,235,27,95,46,944,62,0,121,841,131,704,167,579,184,28,184,441,207,303,220,170,230
frame_0027.jpg,798,0,916,5,660,10,523,14,380,16,234,30,95,45,943,63,0,122,840,132,704,169,578,185,27,185,440,208,302,221,169,231
frame_0029.jpg,798,0,916,5,660,10,523,13,380,16,234,28,95,46,943,63,0,121,840,132,703,168,578,185,28,185,440,208,302,221,168,231
frame_0031.jpg,798,0,916,5,659,9,523,14,380,16,234,28,94,47,943,64,0,122,840,132,704,168,578,185,28,185,440,208,302,221,168,231
frame_0034.jpg,799,0,917,5,661,10,524,13,381,16,236,28,96,46,944,64,0,122,841,132,705,168,579,185,28,185,441,209,303,222,170,231
frame_0035.jpg,798,0,916,4,659,10,523,14,380,16,234,28,94,47,943,63,0,122,840,132,703,169,578,185,28,185,440,208,302,221,169,231
frame_0036.jpg,797,0,916,6,659,11,523,15,380,17,234,30,94,47,943,65,0,122,840,133,704,169,578,186,28,186,440,210,302,222,169,232
frame_0037.jpg,799,0,917,5,660,10,524,14,381,16,235,29,96,46,944,64,0,122,841,132,705,168,579,185,29,185,441,208,303,221,170,231
frame_0038.jpg,798,0,916,5,659,10,523,14,380,16,234,28,94,46,942,63,0,121,840,132,703,169,578,185,28,185,440,208,302,221,168,231
